bound_type,strain,ko,media,time_point,id,lb,ub
log_concentration,0,SUCDi,Glc,0,cmp,-9.606954402351361,-9.177902709452002
log_concentration,0,SUCDi,Glc,0,coa,-7.881089198997039,-7.460595856462595
log_concentration,0,SUCDi,Glc,0,ctp,-8.934348686710925,-8.64630839324689
log_concentration,0,SUCDi,Glc,0,dadp,-12.102167723081571,-10.973690712931136
log_concentration,0,SUCDi,Glc,0,damp,-13.198367787298958,-12.138905836252167
log_concentration,0,SUCDi,Glc,0,datp,-10.145452929971507,-9.67160526352086
log_concentration,0,SUCDi,Glc,0,dcdp,-11.599025197208654,-10.701314592469755
log_concentration,0,SUCDi,Glc,0,dcmp,-12.187277647191713,-11.592762972388645
log_concentration,0,SUCDi,Glc,0,dctp,-9.802716140868814,-9.520941577301183
log_concentration,0,SUCDi,Glc,0,dhap,-7.257668989297761,-6.77264266577975
log_concentration,0,SUCDi,Glc,0,dimp,-13.299065721449121,-12.200918378136837
log_concentration,0,SUCDi,Glc,0,dtdpglu,-13.396904770695583,-12.860730410112087
log_concentration,0,SUCDi,Glc,0,dtmp,-9.818140729132363,-9.49621942077381
log_concentration,0,SUCDi,Glc,0,dttp,-7.877421258648424,-7.54274853384917
log_concentration,0,SUCDi,Glc,0,dump,-11.884923017484489,-11.405301420777803
log_concentration,0,SUCDi,Glc,0,dutp,-13.153439561237422,-13.117562167678795
log_concentration,0,SUCDi,Glc,0,f6p,-8.968210795212105,-8.174530326916301
log_concentration,0,SUCDi,Glc,0,fad,-10.085327553430023,-9.518825553852873
log_concentration,0,SUCDi,Glc,0,fdp,-6.7049274533849745,-6.148058156325689
log_concentration,0,SUCDi,Glc,0,fum,-7.279162782494212,-6.86241584724844
log_concentration,0,SUCDi,Glc,0,g1p,-8.75422292852829,-8.11487107999453
log_concentration,0,SUCDi,Glc,0,g6p,-7.146438265717646,-6.503647868206308
log_concentration,0,SUCDi,Glc,0,gam6p,-8.687247293301894,-8.193024659296523
log_concentration,0,SUCDi,Glc,0,gdp,-10.298891707299793,-9.54855026366352
log_concentration,0,SUCDi,Glc,0,gln-L,-5.508011225040601,-5.056788903315116
log_concentration,0,SUCDi,Glc,0,glu-L,-3.9217831606758966,-3.4783197110129596
log_concentration,0,SUCDi,Glc,0,glutacon,-3.6722349569393895,-3.2734940797029255
log_concentration,0,SUCDi,Glc,0,glx,-4.221205506265657,-3.498163440541006
log_concentration,0,SUCDi,Glc,0,glyc3p,-8.205237454208936,-7.744121500534375
log_concentration,0,SUCDi,Glc,0,glyclt,-6.371192813815781,-5.656323029015142
log_concentration,0,SUCDi,Glc,0,gmp,-9.713574489184799,-8.233061190313471
log_concentration,0,SUCDi,Glc,0,gthox,-6.959621254851257,-6.431352554375649
log_concentration,0,SUCDi,Glc,0,gthrd,-6.136614360658276,-5.152963140575825
log_concentration,0,SUCDi,Glc,0,gtp,-8.244179413462454,-7.586736863334699
log_concentration,0,SUCDi,Glc,0,gua,-13.037971162007251,-12.314881986103943
log_concentration,0,SUCDi,Glc,0,his-L,-7.3933246808632855,-7.193995723675908
log_concentration,0,SUCDi,Glc,0,hxan,-12.464691874427933,-12.105487854880666
log_concentration,0,SUCDi,Glc,0,imp,-10.742311690357289,-10.216619644075848
log_concentration,0,SUCDi,Glc,0,ins,-14.005656859911321,-13.234459195955663
log_concentration,0,SUCDi,Glc,0,itp,-13.790145351624126,-12.05611977394791
log_concentration,0,SUCDi,Glc,0,lac-D,-6.280357188953571,-6.007498920025357
log_concentration,0,SUCDi,Glc,0,mal-L,-7.5114541199309945,-7.234568335446105
log_concentration,0,SUCDi,Glc,0,met-L,-9.596545403240508,-8.889326369628849
log_concentration,0,SUCDi,Glc,0,mmal,-6.190872460058112,-5.891130431110778
log_concentration,0,SUCDi,Glc,0,nad,-7.301151298935475,-6.819676477743177
log_concentration,0,SUCDi,Glc,0,nadh,-14.592008750923553,-13.792472259484263
log_concentration,0,SUCDi,Glc,0,nadp,-8.747788526992522,-8.342536913830676
log_concentration,0,SUCDi,Glc,0,nadph,-12.55384203112346,-11.713370498132436
log_concentration,0,SUCDi,Glc,0,orn,-6.4931014292409674,-5.311057113417085
log_concentration,0,SUCDi,Glc,0,pep,-8.961637095403617,-8.654971913637112
log_concentration,0,SUCDi,Glc,0,phe-L,-9.703941693178743,-8.901327682823082
log_concentration,0,SUCDi,Glc,0,phpyr,-6.338968810109578,-6.113537774719635
log_concentration,0,SUCDi,Glc,0,pyr,-5.814905161831992,-5.082303412352956
log_concentration,0,SUCDi,Glc,0,r5p,-9.127167299714753,-8.592267285438329
log_concentration,0,SUCDi,Glc,0,ru5p-D,-10.543173317204998,-10.083953468613844
log_concentration,0,SUCDi,Glc,0,s7p,-8.94306045255713,-8.627911844462524
log_concentration,0,SUCDi,Glc,0,ser-L,-8.611371444844258,-8.098925936933469
log_concentration,0,SUCDi,Glc,0,skm,-12.38745996370323,-11.170666209863453
log_concentration,0,SUCDi,Glc,0,succ,-2.694159496183754,-2.42932697748586
log_concentration,0,SUCDi,Glc,0,thr-L,-7.618919784794438,-7.19385488591211
log_concentration,0,SUCDi,Glc,0,trp-L,-10.469130889694197,-10.192836595578251
log_concentration,0,SUCDi,Glc,0,tyr-L,-9.949360578328315,-9.19683452102858
log_concentration,0,SUCDi,Glc,0,udp,-10.139260917924148,-9.375085142555413
log_concentration,0,SUCDi,Glc,0,udpg,-6.511045752589697,-5.888340408030766
log_concentration,0,SUCDi,Glc,0,udpglcur,-10.743163187929019,-10.462926850294906
log_concentration,0,SUCDi,Glc,0,ump,-9.65978976110202,-9.147578746988724
log_concentration,0,SUCDi,Glc,0,uri,-12.047790594698979,-11.69901148085891
log_concentration,0,SUCDi,Glc,0,utp,-7.710592771354777,-7.396240522799382
log_concentration,0,TPI,Glc,0,23dpg,-9.809742167260186,-8.332913228651961
log_concentration,0,TPI,Glc,0,6pgc,-9.74323716659064,-9.400255064069123
log_concentration,0,TPI,Glc,0,Lcystin,-10.803640630360942,-10.285192024439676
log_concentration,0,TPI,Glc,0,Pool_2pg_3pg,-9.096644929994325,-8.623948652265252
log_concentration,0,TPI,Glc,0,accoa,-8.081279304531273,-6.2954843838476835
log_concentration,0,TPI,Glc,0,acon-C,-5.576272302676645,-4.732280290067033
log_concentration,0,TPI,Glc,0,ade,-10.758725692945037,-10.565069601579653
log_concentration,0,TPI,Glc,0,adn,-12.855369690902199,-11.291647987740857
log_concentration,0,TPI,Glc,0,adp,-8.613221476141666,-8.255197763142972
log_concentration,0,TPI,Glc,0,adpglc,-13.616607876563755,-12.931259521168913
log_concentration,0,TPI,Glc,0,akg,-8.94550945629871,-8.251591307031557
log_concentration,0,TPI,Glc,0,ala-L,-7.851700019864768,-5.474413205343511
log_concentration,0,TPI,Glc,0,amp,-8.769594857616328,-8.264387658732467
log_concentration,0,TPI,Glc,0,arg-L,-9.148145559230494,-8.072417548214728
log_concentration,0,TPI,Glc,0,asn-L,-7.97096593790866,-7.6982585692509735
log_concentration,0,TPI,Glc,0,atp,-6.862465718860598,-6.249284985996822
log_concentration,0,TPI,Glc,0,camp,-8.796139409560567,-8.38239333181316
log_concentration,0,TPI,Glc,0,chor,-4.450403921344657,-3.8805351652300333
log_concentration,0,TPI,Glc,0,cit,-11.862743826999367,-11.79178374674827
log_concentration,0,TPI,Glc,0,citr-L,-10.541787108160518,-9.383789444937149
log_concentration,0,TPI,Glc,0,cmp,-9.915697762312405,-9.391534603855018
log_concentration,0,TPI,Glc,0,coa,-7.639155762602465,-6.974157254952057
log_concentration,0,TPI,Glc,0,ctp,-9.218708041901063,-8.695320440170876
log_concentration,0,TPI,Glc,0,dadp,-10.449075463624782,-10.278504137173197
log_concentration,0,TPI,Glc,0,damp,-12.552425258383574,-12.327061698433642
log_concentration,0,TPI,Glc,0,datp,-9.90729166948132,-9.238043469515558
log_concentration,0,TPI,Glc,0,dcdp,-11.47382727741671,-10.737151274170836
log_concentration,0,TPI,Glc,0,dcmp,-12.633753783560111,-12.334737034143263
log_concentration,0,TPI,Glc,0,dctp,-10.579970027893557,-9.869961836289084
log_concentration,0,TPI,Glc,0,dhap,-5.395855095703007,-4.644431439264436
log_concentration,0,TPI,Glc,0,dimp,-14.740931620376445,-12.939503286200353
log_concentration,0,TPI,Glc,0,dtdpglu,-13.97119325891725,-13.436632231914338
log_concentration,0,TPI,Glc,0,dtmp,-10.285556346220691,-9.928508047021507
log_concentration,0,TPI,Glc,0,dttp,-8.098997536376045,-7.481110455523492
log_concentration,0,TPI,Glc,0,dump,-11.690715449494634,-11.392355526898509
log_concentration,0,TPI,Glc,0,dutp,-13.249038188119261,-13.178078107868162
log_concentration,0,TPI,Glc,0,f6p,-8.819961017027435,-7.962536341950125
log_concentration,0,TPI,Glc,0,fad,-9.619348953506318,-8.81487855827133
log_concentration,0,TPI,Glc,0,fdp,-6.890979968909445,-6.0927597929631165
log_concentration,0,TPI,Glc,0,fum,-8.736027578837284,-8.098802143298892
log_concentration,0,TPI,Glc,0,g1p,-9.308070201809066,-8.119401168441971
log_concentration,0,TPI,Glc,0,g6p,-7.420545906758883,-6.657580745739243
log_concentration,0,TPI,Glc,0,gam6p,-8.836919923521522,-7.851572578283293
log_concentration,0,TPI,Glc,0,gdp,-9.978048646302154,-9.67401898889607
log_concentration,0,TPI,Glc,0,gln-L,-5.616397444159946,-5.165707242298575
log_concentration,0,TPI,Glc,0,glu-L,-3.266654580645553,-2.8325418738026884
log_concentration,0,TPI,Glc,0,glutacon,-5.107045034330748,-3.866197725479003
log_concentration,0,TPI,Glc,0,glx,-4.8966511580400764,-4.156555631297439
log_concentration,0,TPI,Glc,0,glyc3p,-8.500617307263477,-8.060624583270606
log_concentration,0,TPI,Glc,0,glyclt,-8.354155085837816,-7.821727269967347
log_concentration,0,TPI,Glc,0,gmp,-8.91138793213049,-8.172767145060105
log_concentration,0,TPI,Glc,0,gsn,-14.38113467984914,-12.541803758401388
log_concentration,0,TPI,Glc,0,gthox,-5.823670324225059,-4.508658706845978
log_concentration,0,TPI,Glc,0,gthrd,-4.408676665080444,-4.120382007282115
log_concentration,0,TPI,Glc,0,gtp,-8.383170630003269,-8.003500434901332
